model_name,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,performance_percentage
Hybrid Model,0.12089027273251458,0.4794026042629479,0.3824840709016852,0.08495646658594246,0.6466835707917357,0.43591028974878926,43.591028974878924
Content-based Model,0.11303696015683562,0.45224486202340886,0.356307530920567,0.08164965692210113,0.6268414483068598,0.41363438125564767,41.36343812556477
Popularity-based Model,0.0914980107247881,0.3817847907926207,0.28577833305370937,0.06979472986219223,0.5560252828330875,0.34599996605345956,34.59999660534596
Collaborative Filtering Model,0.08192930865478867,0.3475940277179695,0.2530560241636202,0.06428241941993887,0.5175730479114028,0.31263762148359625,31.263762148359625
