variant_name,removed_signal,precision_at_5,recall_at_5,ndcg_at_5,precision_at_10,recall_at_10,ndcg_at_10,performance_percentage,drop_from_final_hybrid
Final Hybrid Model,None,0.12089027273251458,0.4794026042629479,0.3824715432212605,0.08495646658594246,0.6466835707917357,0.43589776206836445,43.58977620683645,0.0
Hybrid without content_score,content_score,0.1147782967191374,0.45864895107727227,0.3608153720415888,0.0821037306117742,0.6305452649579136,0.4166967027823274,41.66967027823274,0.019201059286037048
Hybrid without cf_score,cf_score,0.12091045378538891,0.4794135699881067,0.3826056744641558,0.08496655711237963,0.6466921912131307,0.4359511420440696,43.59511420440696,-5.337997570514785e-05
Hybrid without popularity_score,popularity_score,0.12086144265697976,0.47829633711814945,0.38299665658968934,0.0847200599665571,0.6444407352815157,0.4359760207420921,43.597602074209206,-7.825867372762696e-05
Hybrid without category_score,category_score,0.11885775240731133,0.4724915729109233,0.3755050679224924,0.08435535951104191,0.6431337663629108,0.430391723952917,43.0391723952917,0.00550603811544742
Hybrid without subcategory_score,subcategory_score,0.11615925733725423,0.46487644647336135,0.3650962061710206,0.08293547829095312,0.6352260704376089,0.4208811366689693,42.08811366689693,0.015016625399395134
